Ruc;Nombre Comercial;Provincia;Distrito;Web;Clase;Nro Certificado;Servicio Autorizado;Modalidades Autorizadas;Certificacion de Calidad
10048170809;Machupicchu Pisac;CALCA;PISAC;;Operador Turismo;-;;;
10065066306;Orient Tours;CUSCO;CUSCO;www.orientoursperu.com;Operador Turismo;-;;;
10070702024;Sharuca;CUSCO;SAN SEBASTIAN;;Operador Turismo;-;;;
10092797304;Peru Kapaq Tours;CUSCO;SAN SEBASTIAN;www.perukapaqtours.pe;Operador Turismo;-;;;
10096742504;Cusco Yummy Food;CUSCO;WANCHAQ;www.cuscoyummyfood.com;Operador Turismo;-;;;
10103946129;Peru Viaje Y Bienestar;CUSCO;SANTIAGO;www.peruviajeybienestar.com;Minorista;-;;;
10107180554;El Imperio  Travel;CUSCO;CUSCO;www.elimperiohostel.com;Minorista;-;;;
10108610757;Cusco Sun Rise Travel;CUSCO;WANCHAQ;www.cuscosunrisetravel.com;Operador Turismo;-;;;
10238046080;Veronica Tour;CUSCO;CUSCO;www.veronicatours.com;Mayorista;-;;;
10238108719;Machupicchu Planet Tours;CUSCO;CUSCO;;Operador Turismo;-;;;
10238125176;Killa;ESPINAR;ESPINAR;;Operador Turismo;-;;;
10238158376;Ecoamazonia Lodge;CUSCO;CUSCO;www.ecoamazonia.com.pe;Minorista;-;;;
10238253891;Sven Tours Peru;CUSCO;CUSCO;www.sventoursperu.com;Mayorista, Minorista, Operador Turismo;-;;;
10238260537;Peru Travel;CUSCO;CUSCO;;Operador Turismo;-;;;
10238426265;Jampuyqui Tours Agencia De Viajes Y Servicios;CUSCO;SAN SEBASTIAN;;Operador Turismo;-;;;
10238481622;Inka´S Peru Tours;CUSCO;CUSCO;www.inkasperutours.com;Operador Turismo;-;;;
10238626477;Felix Tours;CUSCO;SAN SEBASTIAN;;Minorista;-;;;
10238699504;Rutas Inka Tour Operador;CUSCO;SAN JERÓNIMO;www.rutasinka.com;Operador Turismo;-;;;
10238709445;Royal Travel Cusco;CUSCO;WANCHAQ;www.royaltravelcusco.com;Operador Turismo;-;;;
10238725556;Torres Ninantay Julio;CUSCO;WANCHAQ;;Operador Turismo;-;;;
10238731483;Mundo Inkaiko Tour Operator;CUSCO;WANCHAQ;www.mundoincaico.com;Operador Turismo;-;;;
10238741756;Multiservice Trudy Travel Peru;CUSCO;CUSCO;;Minorista;-;;;
10238780808;Seatour;CUSCO;WANCHAQ;;Operador Turismo;-;;;
10238785494;Linka Peru Travel Service;CUSCO;CUSCO;;Minorista;-;;;
10238899295;Agencia De Viajes Y Turismo Friends Of The Nature;CUSCO;CUSCO;;Operador Turismo;-;;;
10239171228;Inkapal Intertravel;CUSCO;CUSCO;;Operador Turismo;-;;;
10239271141;Sacred  Land  Adventures;CUSCO;CUSCO;;Operador Turismo;-;;;
10239306999;Solara N & L Travel Agency;CUSCO;SANTIAGO;www.solaranltravelagency.000webhostapp.com;Operador Turismo;-;;;
10239456729;Tunki Expeditions;CUSCO;CUSCO;;Minorista;-;;;
10239485907;Cusco Classic Tours;CUSCO;CUSCO;www.cuscoclassictours.com;Operador Turismo;-;;;
10239503123;Andean Route Explore;CUSCO;WANCHAQ;www.andeanrouteexplore.com;Minorista;-;;;
10239544784;James Travel Agency;CUSCO;CUSCO;;Operador Turismo;-;;;
10239547457;Caminante;CUSCO;WANCHAQ;;Operador Turismo;-;;;
10239618206;Paccarectambo Tours;CUSCO;SANTIAGO;;Operador Turismo;-;;;
10239629844;Machupicchu Over Mountain;CUSCO;CUSCO;;Operador Turismo;-;;;
10239806622;Goyzueta;CUSCO;CUSCO;;Minorista;-;;;
10239841266;Orion Travel Services;CUSCO;CUSCO;;Mayorista;-;;;
10239891689;Rumi Tumi Tours;CUSCO;CUSCO;;Minorista;-;;;
10239898772;Alive Peru Trips;CUSCO;SAN SEBASTIAN;www.alive-peru-trips.negocio.sit;Operador Turismo;-;;;
10239994305;Machupicchu Green Land;CUSCO;CUSCO;www.machupicchugreenland;Operador Turismo;-;;;
10240028731;Sticma;CUSCO;WANCHAQ;;Minorista;-;;;
10240039325;Siwar Q´Ente Travel Agency;CUSCO;CUSCO;;Operador Turismo;-;;;
10240049690;Artours Cusco Peru;CUSCO;CUSCO;www.artourscuscoperu.com.pe;Operador Turismo;-;;;
10240051686;Adv. Gregory Cusco Peru;CUSCO;CUSCO;www.gregorytoursperu.com;Operador Turismo;-;;;
10243881540;Machu - Pichu Safe Travel;CUSCO;CUSCO;www.pachu-pichu-safe-travel.com;Operador Turismo;-;;;
10244952131;Inti Paths;URUBAMBA;URUBAMBA;munaycha@yahoo.com;Operador Turismo;-;;;
10250013766;Latin Travel;CUSCO;CUSCO;www.latintravelperu.com;Operador Turismo;-;;;
10250028011;J.J.J Tours;CUSCO;SANTIAGO;;Operador Turismo;-;;;
10251322746;San Fernando Adventure;PAUCARTAMBO;KOSÑIPATA;www.sanfernandoadventures.com;Operador Turismo;-;;;
10257204729;Redur Travel;CUSCO;SANTIAGO;www.redurtravel.com;Minorista;-;;;
10258612111;Manujungletrips;CUSCO;CUSCO;www.manusungletripss.com;Minorista;-;;;
10293276591;Cusco Illary;CUSCO;SAN SEBASTIAN;www.cuscoillary.com;Operador Turismo;-;;;
10296091044;Andean Mountain;ESPINAR;ESPINAR;;Operador Turismo;-;;;
10310278080;Working For Peru;CUSCO;CUSCO;;Operador Turismo;-;;;
10310406321;Bike And Adventure;CUSCO;WANCHAQ;www.bikeandadventure.com;Operador Turismo;-;;;
10400020421;Peru Global Tours;CUSCO;WANCHAQ;www.perugtours.com;Operador Turismo;-;;;
10401406129;Peru Tour Expeditions;CUSCO;CUSCO;www.perutourexpeditions.com;Operador Turismo;-;;;
10402200966;Innova Peru Tours;CUSCO;WANCHAQ;www.innovaperutours.com;Operador Turismo;-;;;
10402904599;Intihuatana;CUSCO;CUSCO;;Operador Turismo;-;;;
10402983537;Machupicchu Trekking;CUSCO;WANCHAQ;www.machupicchu-trekking.com;Minorista;-;;;
